Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-99.99999257666704,-1.4071479214456104,3129.718747212951,2295.223331227053
GPR55,-0.0008223509989163,-1.3635795379836808,3129.718747212951,2295.223331227053
GPR18,3698.444471715313,0.24778666056793464,3129.718747212951,2295.223331227053
GPR119,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
TRPV1,53.401419997019495,-1.3403128511992322,3129.718747212951,2295.223331227053
TRPV2,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
TRPV3,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
TRPV4,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
PPARA,979.2917581933852,-0.9369140509171812,3129.718747212951,2295.223331227053
PPARD,2389.7645949203097,-0.3223887376123233,3129.718747212951,2295.223331227053
PPARG,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
NR1I2,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
NAPEPLD,134.9082056447681,-1.304801367615552,3129.718747212951,2295.223331227053
PLCB1,3699.870589674017,0.24840800226453624,3129.718747212951,2295.223331227053
PLCE1,2389.7713499407646,-0.3223857945346877,3129.718747212951,2295.223331227053
DAGLA,3699.870589674017,0.24840800226453624,3129.718747212951,2295.223331227053
DAGLB,976.1159880267488,-0.9382976941223671,3129.718747212951,2295.223331227053
FAAH,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
NAAA,1533.8191142050784,-0.695313441308862,3129.718747212951,2295.223331227053
MGLL,2393.4956793866563,-0.3207631509360359,3129.718747212951,2295.223331227053
ABHD6,1537.4665358935172,-0.693724305454928,3129.718747212951,2295.223331227053
ABHD12,607.7296909891836,-1.0987989804353733,3129.718747212951,2295.223331227053
PTGS2,2397.198847955789,-0.3191497268658158,3129.718747212951,2295.223331227053
ALOX5,1541.0568660791537,-0.6921600436522576,3129.718747212951,2295.223331227053
ALOX12,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
ALOX15,3699.870589674017,0.24840800226453624,3129.718747212951,2295.223331227053
FABP1,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
FABP3,3698.444471715313,0.24778666056793464,3129.718747212951,2295.223331227053
FABP5,3698.444471715313,0.24778666056793464,3129.718747212951,2295.223331227053
FABP7,3699.870589674017,0.24840800226453624,3129.718747212951,2295.223331227053
HSPA1A,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
SLCO2B1,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
SLC22A5,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
GNAI1,-99.99999148789684,-1.407147920971247,3129.718747212951,2295.223331227053
GNAI2,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
GNAI3,-99.99999627214312,-1.407147923055683,3129.718747212951,2295.223331227053
ARRB1,-99.99999998379192,-1.4071479246728018,3129.718747212951,2295.223331227053
GRK2,5695.009613881943,1.1176650358017917,3129.718747212951,2295.223331227053
AKT1,-99.93847544497191,-1.4071211192033806,3129.718747212951,2295.223331227053
