Node,Combined Perturbation Top 1 Degree Centrality,Combined Perturbation Top 3 Degree Centrality,Combined Perturbation Top 1 Betweenness Centrality,Combined Perturbation Top 3 Betweenness Centrality
ALOX15,-0.08419878516320896,0.1963968727078755,-0.08419878516320896,0.5323780131387066
ALOX5,-0.08419878516320876,0.19639687270787565,-0.08419878516320876,0.5323780131387068
ARRB1,-1.6103427670796007,-0.7888662577911074,-1.6103427670796007,-0.7274061797514859
CNR2,0.759089830855848,,0.759089830855848,1.8773120076452265
DAGLA,0.6840671161134771,2.0612993494379412,0.6840671161134771,1.775369847246755
DAGLB,-2.598114719682239,-1.426561847310973,-2.598114719682239,-1.5427810767559653
FABP5,-0.01643379284547014,-0.28483546307680574,-0.01643379284547014,-1.3135721831975793
GPR18,-0.7555297862273639,-1.2464561141800163,-0.7555297862273639,-0.04984363604189931
GPR55,0.15563555328644327,1.4891908288326823,0.15563555328644327,0.4122470932730092
MGLL,1.4066310458270384,0.5901324201680695,1.4066310458270384,-0.30669025792324145
NAAA,0.5793334312813138,1.1697986428177995,0.5793334312813138,0.2037429403061101
NAPEPLD,1.6158703203519846,-0.8512620401248042,1.6158703203519846,-0.7306405422492784
PLCB1,-0.08419878516320882,0.1963968727078755,-0.08419878516320882,0.5323780131387066
PPARA,-0.03420386910883003,-0.6617051912611446,-0.03420386910883003,
PPARD,-0.0841987851632087,-0.17586219034539866,-0.0841987851632087,-0.22125785214238847
PTGS2,-0.08419878516320879,-0.46406275528986923,-0.08419878516320879,-0.9736141998253837
TRPV1,0.23499156304344315,,0.23499156304344315,
