Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
GPR18,0.02531645569620253,0.02631578947368421,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
GPR119,0.02531645569620253,0.02631578947368421,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
TRPV1,0.16455696202531644,0.17105263157894735,3.9473684210526243,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
TRPV2,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
TRPV3,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
TRPV4,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
PPARA,0.0379746835443038,0.039473684210526314,3.9473684210526225,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
PPARD,0.0379746835443038,0.039473684210526314,3.9473684210526225,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
PPARG,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
NR1I2,0.012658227848101266,0.013157894736842105,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
NAPEPLD,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
PLCB1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
PLCE1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
DAGLA,0.10126582278481013,0.10526315789473684,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
DAGLB,0.012658227848101266,0.013157894736842105,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
FAAH,0.05063291139240506,0.05263157894736842,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
NAAA,0.11392405063291139,0.11842105263157894,3.947368421052629,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
MGLL,0.02531645569620253,0.02631578947368421,3.9473684210526274,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
ABHD6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
ABHD12,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
PTGS2,0.06329113924050633,0.06578947368421052,3.947368421052619,0.0,0.0,,0.0,0.0,,0.00020985686473385293,0.00024572889984511884,17.09357240076943
