Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
CNR2,0.1282051282051282,0.05555555555555555,-56.666666666666664,0.0010121457489878543,0.0015873015873015873,56.82539682539682,0.12980769230769232,0.037037037037037035,-71.46776406035666,5.546036778875715e-05,1.0770706411007536e-08,-99.98057945368839
GPR18,0.15384615384615385,0.08333333333333333,-45.833333333333336,0.0043859649122807015,0.001984126984126984,-54.761904761904766,0.05128205128205128,0.027777777777777776,-45.833333333333336,4.727864368183692e-16,5.080465505020144e-11,10745693.68056599
GPR119,0.07692307692307693,0.05555555555555555,-27.777777777777786,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.1954036482400343e-13,35372524.374380834
TRPV1,0.20512820512820512,0.1388888888888889,-32.291666666666664,0.0006747638326585695,0.0,-100.0,0.2975708502024292,0.2647058823529412,-11.04441776710685,0.011212134261670155,0.9998998656510346,8818.015449291364
TRPV2,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.1954036482400343e-13,35372524.374380834
TRPV3,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.1954036482400343e-13,35372524.374380834
TRPV4,0.02564102564102564,0.027777777777777776,8.333333333333332,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.1954036482400343e-13,35372524.374380834
PPARA,0.23076923076923075,0.2222222222222222,-3.703703703703703,0.014619883040935673,0.011904761904761904,-18.57142857142858,0.19433198380566802,0.19771241830065361,1.7395152505446714,3.429324694782444e-09,4.599142083534167e-06,134012.17930257655
PPARD,0.07692307692307693,0.08333333333333333,8.333333333333321,0.0006747638326585695,0.000529100529100529,-21.587301587301592,0.057692307692307696,0.05555555555555555,-3.703703703703715,1.6535730973671517e-13,1.0821391525692912e-08,6544147.4499149285
PPARG,0.10256410256410256,0.1111111111111111,8.333333333333332,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.1954036482400343e-13,35372524.374380834
NR1I2,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.1954036482400343e-13,35372524.374380834
NAPEPLD,0.2564102564102564,0.19444444444444442,-24.16666666666667,0.0035987404408457037,0.0031746031746031746,-11.78571428571428,0.20683760683760682,0.16666666666666666,-19.421487603305785,0.0001118775018777284,0.014141889445571062,12540.512353437083
