Node,Percent Change,Z Score,Mean (Percent Change),Std (Percent Change)
CNR2,-99.99999363242912,-1.4014634835540445,2595.0083748914053,1922.9957827295093
GPR55,-8.907803891431143e-05,-1.3494613390602848,2595.0083748914053,1922.9957827295093
GPR18,3075.1220180663727,0.24966962875679935,2595.0083748914053,1922.9957827295093
GPR119,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
TRPV1,49.553566380977855,-1.3236923509511793,2595.0083748914053,1922.9957827295093
TRPV2,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
TRPV3,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
TRPV4,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
PPARD,2035.6650192306108,-0.2908708176503954,2595.0083748914053,1922.9957827295093
PPARG,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
NR1I2,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
NAPEPLD,123.2133436660388,-1.2853876505734656,2595.0083748914053,1922.9957827295093
PLCB1,3076.225863431699,0.25024365256654457,2595.0083748914053,1922.9957827295093
PLCE1,2035.670301940496,-0.2908680705253457,2595.0083748914053,1922.9957827295093
DAGLA,3076.225863431699,0.25024365256654457,2595.0083748914053,1922.9957827295093
DAGLB,871.5885850320673,-0.8962161047556265,2595.0083748914053,1922.9957827295093
FAAH,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
NAAA,1338.011862937866,-0.6536657663228739,2595.0083748914053,1922.9957827295093
MGLL,2038.6285414261963,-0.2893297210852334,2595.0083748914053,1922.9957827295093
ABHD6,1340.984757969501,-0.652119795677314,2595.0083748914053,1922.9957827295093
ABHD12,555.5462754122626,-1.0605650401293758,2595.0083748914053,1922.9957827295093
ALOX5,-90.89923219346954,-1.3967308879234697,2595.0083748914053,1922.9957827295093
ALOX12,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
ALOX15,3076.225863431699,0.25024365256654457,2595.0083748914053,1922.9957827295093
FABP1,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
FABP3,3075.1220180663727,0.24966962875679935,2595.0083748914053,1922.9957827295093
FABP5,3075.1220180663727,0.24966962875679935,2595.0083748914053,1922.9957827295093
FABP7,3076.225863431699,0.25024365256654457,2595.0083748914053,1922.9957827295093
HSPA1A,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
SLCO2B1,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
SLC22A5,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
GNAI1,-99.9999925076228,-1.4014634829691204,2595.0083748914053,1922.9957827295093
GNAI2,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
GNAI3,-99.999996802681,-1.4014634852026449,2595.0083748914053,1922.9957827295093
ARRB1,-99.99999998645204,-1.4014634868582758,2595.0083748914053,1922.9957827295093
GRK2,4620.505529516323,1.0533029623964736,2595.0083748914053,1922.9957827295093
AKT1,-99.99999996775702,-1.401463486848554,2595.0083748914053,1922.9957827295093
