Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
CNR1,0.3333333333333333,0.3157894736842105,-5.263157894736842,0.02541610436347278,0.02477477477477477,-2.523319779956949,0.1641025641025641,0.14327485380116958,-12.691885964912286,4.767267763291308e-07,3.503688725960365e-07,-26.50530870241221
CNR2,0.1282051282051282,0.10526315789473684,-17.89473684210526,0.0010121457489878543,0.0007112375533428165,-29.729729729729726,0.12980769230769232,0.11228070175438595,-13.502274204028605,5.546036778875715e-05,4.6390535372581264e-05,-16.353718480053992
GPR55,0.3076923076923077,0.2894736842105263,-5.921052631578949,0.0,0.0,,0.3908692933083177,0.3789473684210526,-3.0501052631579086,0.9998602642105129,0.9998805146735047,0.0020253293101712274
GPR18,0.15384615384615385,0.13157894736842105,-14.473684210526324,0.0043859649122807015,0.004623044096728307,5.405405405405415,0.05128205128205128,0.02631578947368421,-48.68421052631579,4.727864368183692e-16,2.863543270359778e-14,5956.737349806563
GPR119,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,4.3125651662044926e-17,12661.107759607548
TRPV1,0.20512820512820512,0.18421052631578946,-10.197368421052634,0.0006747638326585695,0.0007112375533428165,5.405405405405415,0.2975708502024292,0.2844950213371266,-4.394190108475827,0.011212134261670155,0.01036205497874601,-7.5817793747817355
TRPV2,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,4.3125651662044926e-17,12661.107759607548
TRPV3,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,4.3125651662044926e-17,12661.107759607548
TRPV4,0.02564102564102564,0.02631578947368421,2.631578947368419,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,4.3125651662044926e-17,12661.107759607548
PPARA,0.23076923076923075,0.23684210526315788,2.631578947368422,0.014619883040935673,0.014935988620199148,2.162162162162166,0.19433198380566802,0.18730650154798764,-3.6151960784313606,3.429324694782444e-09,6.322159424607387e-09,84.35581309131372
PPARD,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0006747638326585695,0.0007112375533428165,5.405405405405415,0.057692307692307696,0.05263157894736842,-8.771929824561415,1.6535730973671517e-13,9.521281373946271e-12,5658.004523117982
PPARG,0.10256410256410256,0.10526315789473684,2.631578947368419,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,4.3125651662044926e-17,12661.107759607548
NR1I2,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,4.3125651662044926e-17,12661.107759607548
NAPEPLD,0.2564102564102564,0.23684210526315788,-7.631578947368419,0.0035987404408457037,0.003793266951161688,5.405405405405415,0.20683760683760682,0.18796992481203006,-9.12197849996893,0.0001118775018777284,9.348175150575715e-05,-16.44276111212786
PLCB1,0.10256410256410256,0.10526315789473684,2.631578947368419,0.0006747638326585695,0.0007112375533428165,5.405405405405415,0.02564102564102564,0.02631578947368421,2.631578947368419,2.3656219140304345e-16,2.863543270359778e-14,12004.822217684858
PLCE1,0.02564102564102564,0.02631578947368421,2.631578947368419,0.0,0.0,,0.034188034188034185,0.03508771929824561,2.6315789473684257,8.267882384135148e-14,9.492689066894339e-12,11381.403128217467
DAGLA,0.20512820512820512,0.18421052631578946,-10.197368421052634,0.0,0.0,,0.02564102564102564,0.0,-100.0,2.3656219140304345e-16,4.3125651662044926e-17,-81.7698460577035
DAGLB,0.1794871794871795,0.15789473684210525,-12.03007518796993,0.004048582995951417,0.004267425320056899,5.405405405405415,0.10256410256410256,0.07894736842105263,-23.026315789473685,3.409922810092328e-09,2.113724465016075e-09,-38.01254213848778
NAAA,0.10256410256410256,0.07894736842105263,-23.026315789473685,0.0022492127755285645,0.0017780938833570413,-20.94594594594593,0.057692307692307696,0.03508771929824561,-39.181286549707615,1.9319442766408055e-11,9.492689066894339e-12,-50.86458143917131
MGLL,0.2564102564102564,0.23684210526315788,-7.631578947368419,0.0015744489428699956,0.0016595542911332388,5.405405405405414,0.05128205128205128,0.02631578947368421,-48.68421052631579,8.291504808676672e-14,2.863543270359778e-14,-65.46413062001467
ABHD6,0.1794871794871795,0.15789473684210525,-12.03007518796993,0.0,0.0,,0.07692307692307693,0.05263157894736842,-31.578947368421062,1.9402121252303417e-11,9.521281373946271e-12,-50.926595859636194
ABHD12,0.15384615384615385,0.13157894736842105,-14.473684210526324,0.0,0.0,,0.1282051282051282,0.10526315789473684,-17.89473684210526,4.801171316609988e-07,3.5246355454143066e-07,-26.588007113585327
PTGS2,0.15384615384615385,0.15789473684210525,2.6315789473684097,0.0067476383265856945,0.007112375533428165,5.405405405405415,0.07692307692307693,0.07894736842105263,2.6315789473684097,8.315127233218212e-14,9.549873680998214e-12,11384.93993314654
ALOX5,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.08205128205128205,0.08421052631578947,2.631578947368419,1.9484563513953365e-11,2.123188518650262e-09,10796.772294282064
ALOX12,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,4.3125651662044926e-17,12661.107759607548
ALOX15,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.02564102564102564,0.02631578947368421,2.631578947368419,2.3656219140304345e-16,2.863543270359778e-14,12004.822217684858
