Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
CNR2,0.3037974683544304,0.2948717948717949,-2.9380341880341887,0.004492588986259873,0.0060800310800310795,35.33468337803073,0.06408227848101265,0.028846153846153848,-54.98575498575497,2.969030437066557e-07,1.3462775329014782e-15,-99.99999954655988
GPR55,0.20253164556962025,0.1923076923076923,-5.0480769230769305,0.006139781456237153,0.0068709068709068705,11.908003890382734,0.19296079036739736,0.17847503373819162,-7.507098515519578,0.006004232619360172,0.0059675530034879595,-0.6108959828428636
GPR18,0.10126582278481013,0.08974358974358974,-11.378205128205126,0.004205885534999459,0.0032190032190032194,-23.464317033448857,0.02531645569620253,0.02564102564102564,1.2820512820512802,1.89187551194206e-18,3.606900793022158e-18,90.65212114932338
GPR119,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
TRPV1,0.26582278481012656,0.2564102564102564,-3.5409035409035403,0.023290598290598288,0.026781551781551786,14.988681043726949,0.1469020652898068,0.1322344322344322,-9.984633658103059,6.35858142606208e-05,6.339720600081878e-05,-0.2966200275881692
TRPV2,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
TRPV3,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
TRPV4,0.0759493670886076,0.07692307692307693,1.2820512820512846,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
PPARA,0.1518987341772152,0.15384615384615385,1.2820512820512846,0.02073190522557611,0.021672771672771676,4.538253657627448,0.09593604263824117,0.09716599190283401,1.2820512820512886,1.6330053598934054e-11,3.1764241294976504e-11,94.51400512886204
PPARD,0.0759493670886076,0.07692307692307693,1.2820512820512846,0.001487612247105918,0.0015262515262515263,2.597402597402604,0.028481012658227847,0.028846153846153848,1.2820512820512908,7.014138028337955e-16,1.3462775329014788e-15,91.93770174786364
PPARG,0.11392405063291139,0.11538461538461538,1.2820512820512786,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
NR1I2,0.012658227848101266,0.01282051282051282,1.2820512820512802,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
NAPEPLD,0.12658227848101267,0.11538461538461538,-8.846153846153857,0.0046251217137293086,0.007797757797757797,68.59573175362648,0.1021097046413502,0.08974358974358974,-12.110616656071196,5.986364484841986e-07,5.948230312466247e-07,-0.6370172159129052
PLCB1,0.05063291139240506,0.05128205128205128,1.2820512820512802,0.0001622849724115547,0.0001665001665001665,2.597402597402599,0.012658227848101266,0.01282051282051282,1.2820512820512802,9.465756101557698e-19,1.804658333816176e-18,90.6512606551524
PLCE1,0.012658227848101266,0.01282051282051282,1.2820512820512802,0.0,0.0,,0.016877637130801686,0.017094017094017092,1.2820512820512802,3.507075392710819e-16,6.731399743880445e-16,91.93769708718357
DAGLA,0.20253164556962025,0.1923076923076923,-5.0480769230769305,0.00023260846045656175,0.000308025308025308,32.42222893385683,0.012658227848101266,0.01282051282051282,1.2820512820512802,9.465756101557698e-19,1.804658333816176e-18,90.6512606551524
DAGLB,0.10126582278481013,0.08974358974358974,-11.378205128205126,0.0033268419344368713,0.0001665001665001665,-94.99524865378524,0.05063291139240506,0.05128205128205128,1.2820512820512802,1.6242844641394788e-11,3.159573252616184e-11,94.52093043875031
FAAH,0.24050632911392406,0.23076923076923075,-4.048582995951425,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
NAAA,0.16455696202531644,0.16666666666666666,1.2820512820512835,0.002531645569620253,0.0032495282495282494,28.35636585636585,0.028481012658227847,0.028846153846153848,1.2820512820512908,8.685919785130859e-14,1.6783743591435005e-13,93.2293183292637
MGLL,0.1518987341772152,0.14102564102564102,-7.158119658119662,0.0010548523206751054,0.0016927516927516928,60.47286047286049,0.02531645569620253,0.02564102564102564,1.2820512820512802,3.5165283917286814e-16,6.749422168472492e-16,91.9342435666945
ABHD6,0.08860759493670886,0.08974358974358974,1.282051282051282,0.0,0.0,,0.0379746835443038,0.038461538461538464,1.2820512820512846,8.720990411487134e-14,1.6851057347286322e-13,93.2241242358254
ABHD12,0.0759493670886076,0.07692307692307693,1.2820512820512846,0.0,0.0,,0.06329113924050633,0.0641025641025641,1.2820512820512664,2.423432420496105e-09,4.7456790254295075e-09,95.82469002614116
PTGS2,0.13924050632911392,0.14102564102564102,1.2820512820512864,0.008384723574596992,0.008602508602508602,2.5974025974025996,0.0379746835443038,0.038461538461538464,1.2820512820512846,3.525981390746548e-16,6.767444593064547e-16,91.93080856367456
ALOX5,0.08860759493670886,0.08974358974358974,1.282051282051282,0.0014605647517039922,0.0014985014985014985,2.5974025974026014,0.04050632911392405,0.041025641025641026,1.2820512820512802,8.755966507853228e-14,1.6918190878891733e-13,93.21899945274808
ALOX12,0.05063291139240506,0.05128205128205128,1.2820512820512802,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
ALOX15,0.08860759493670886,0.08974358974358974,1.282051282051282,0.0004868549172346641,0.0004995004995004995,2.597402597402594,0.012658227848101266,0.01282051282051282,1.2820512820512802,9.465756101557698e-19,1.804658333816176e-18,90.6512606551524
FABP1,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
FABP3,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.02531645569620253,0.02564102564102564,1.2820512820512802,1.89187551194206e-18,3.606900793022158e-18,90.65212114932338
FABP5,0.05063291139240506,0.05128205128205128,1.2820512820512802,0.0010548523206751054,0.00111000111000111,5.228105228105237,0.02531645569620253,0.02564102564102564,1.2820512820512802,1.89187551194206e-18,3.606900793022158e-18,90.65212114932338
FABP7,0.012658227848101266,0.01282051282051282,1.2820512820512802,0.0,0.0,,0.012658227848101266,0.01282051282051282,1.2820512820512802,9.465756101557698e-19,1.804658333816176e-18,90.6512606551524
HSPA1A,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
SLCO2B1,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
SLC22A5,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
GNAI1,0.06329113924050633,0.05128205128205128,-18.97435897435898,0.0,0.0,,0.0867992766726944,0.05710955710955711,-34.20503108003108,6.298725841694661e-05,5.028373631103277e-13,-99.99999920168399
GNAI2,0.05063291139240506,0.038461538461538464,-24.038461538461533,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
GNAI3,0.05063291139240506,0.038461538461538464,-24.038461538461533,0.0,0.0,,0.06662225183211193,0.02564102564102564,-61.51282051282052,2.9690304335689494e-07,6.749422168472492e-16,-99.99999977267252
ARRB1,0.05063291139240506,0.038461538461538464,-24.038461538461533,0.0019203721735367302,0.0008325008325008325,-56.648984817998894,0.06329113924050633,0.01282051282051282,-79.74358974358975,2.9690304300618863e-07,1.804658333816176e-18,-99.99999999939217
GRK2,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
AKT1,0.06329113924050633,0.0641025641025641,1.2820512820512664,0.0,0.0,,0.11775095672652341,0.09946949602122017,-15.525530503978779,3.1347600989278136e-05,4.745679025429526e-09,-99.98486110938106
AEA,0.06329113924050633,0.05128205128205128,-18.97435897435898,0.0,0.0,,0.12174913693901035,0.10667634252539913,-12.38020637564097,0.00590959851451623,0.005904155766226419,-0.09210013635346276
2-AG,0.08860759493670886,0.07692307692307693,-13.18681318681318,0.0,0.0,,0.09737098344693283,0.08205128205128205,-15.733333333333348,3.164448804966554e-05,4.714586132068697e-09,-99.98510139862377
Noladin,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
Virodhamine,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.2757083694821687e-21,2.4158746101956818e-21,89.37514779936151
NADA,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.10384037760137309,0.09496676163342829,-8.545438848469152,0.005877956433656491,0.005904155765724258,0.44572178040912974
AA,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.03955696202531646,0.04006410256410256,1.2820512820512664,1.632900053484345e-11,3.1762220080058356e-11,94.51417134981965
OEA,0.08860759493670886,0.07692307692307693,-13.18681318681318,0.0,0.0,,0.1557256402708272,0.1346153846153846,-13.55605641995056,0.005909600954016374,0.005904160543162808,-0.0920605451349255
PEA,0.012658227848101266,0.01282051282051282,1.2820512820512802,0.0,0.0,,0.02531645569620253,0.02564102564102564,1.2820512820512802,1.6069127193543464e-11,3.1260059461407445e-11,94.53489343196972
LEA,0.02531645569620253,0.01282051282051282,-49.358974358974365,0.0,0.0,,0.10940325497287522,0.09324009324009323,-14.773931302856921,0.0058782533366994955,0.005904155765724257,0.4406483957240441
NAGly,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.10384037760137309,0.09496676163342829,-8.545438848469152,0.005877956433656491,0.005904155765724258,0.44572178040912974
Δ9-THC,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.04556962025316456,0.046153846153846156,1.2820512820512877,1.737165038271054e-13,3.3567126492790696e-13,93.22934639646562
Δ8-THC,0.02531645569620253,0.02564102564102564,1.2820512820512802,0.0,0.0,,0.04556962025316456,0.046153846153846156,1.2820512820512877,1.737165038271054e-13,3.3567126492790696e-13,93.22934639646562
